prj_title,year,beneficiaries,sector,status,region,implementor,cost
"Reduction of Malnutrition by Applying Complementary Food Technology thru Complementary Feeding in Guinsiliban, Camiguin",2019,"LGU-Guinsiliban, Camiguin",Other Regional Industry Priorities,Completed,Region X,PSTC-CAMIGUIN,"272,650.00"
"Reduction of Malnutrition by Applying Complementary Food Technology thru Complementary Feeding in Mahinog, Camiguin",2018,"LGU-Mahinog, Camiguin",Health & Wellness Products,On-going,Region X,PSTC-CAMIGUIN,"190,300.00"
"Rehabilitation of Abaca Production in Brgys. Maac and Mahayahay, Sogod, Southern Leyte",2014,Brgys. Maac and Mahayahay,Other Regional Industry Priorities,Completed,Region VIII,RO-GIA,"200,000.00"
"Rehabilitation of Fishery Livelihood of Brgy. Basiao, Ivisan",2014,Ivisan LGU,Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region VI,PSTC-CAPIZ,"561,371.00"
Rehabilitation of Smoke Fish Processing Facility in Sagay City,2014,LGU-Sagay City,Food Processing,Completed,Region VI,PSTC-NEGROS OCCIDENTAL,"500,000.00"
"S&T Based Facility for Cacao Post Harvest Pre-Processing: A Support Facility for the Livelihood Recovery Program of Typhoon Yolanda-Affected Farmers in Quinapondan, Eastern Samar",2017,Local Service Provider Association (LSPA),Food Processing,On-going,Region VIII,PSTC-EASTERN SAMAR,"1,565,500.00"
"S&T Based Facility for High Value Crops Processing: A Support Facility for the Livelihood Recovery Program of Typhoon Yolanda-Affected and Low Income Families in Salcedo, E. Samar",2017,"LGU Salcedo (Women Group, 4Ps and ARBOs)",Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region VIII,PSTC-EASTERN SAMAR,"2,898,800.00"
"S&T Based Facility for Meat Processing: A Support Facility for the Livelihood Recovery Program of Typhoon Yolanda-Affected Women in Mercedes, E. Samar",2017,Buklod ng Kababaihan sa Mercedes,Food Processing,On-going,Region VIII,PSTC-EASTERN SAMAR,"1,809,512.00"
"S&T Based Facility for Veggie Noodles Processing: A Support Facility for the Livelihood Recovery Program of Typhoon Yolanda Affected Low Income Farmers in Hernani, E. Samar",2017,San Miguel Farmers Association,Food Processing,On-going,Region VIII,PSTC-EASTERN SAMAR,"1,741,250.00"
"S&T Based Tuna Fish Processing Facility: A Support Facility for the Livelihood Recovery Program of Typhoon Yolanda-Affected and Low Income Families in Maydolong, E. Samar",2017,LGU Maydolong/ Maydolong FIshermen Association,Food Processing,On-going,Region VIII,PSTC-EASTERN SAMAR,"3,375,800.00"
"S&T Information, Education and Communication Promotional Initiatives in Eastern Visayas",2011,"Philippine Information Agency, Tacloban City",ICT,Completed,Region VIII,RO-GIA,"300,000.00"
S&T Support to Upgrading of Katutubong Asim from Tuba (SUKANG Tuba) Project,2020,Sapang Dalaga Vinegar & Coco Sugar Maker's Association (SAVICOMA),Food Processing,On-going,Region X,PSTC-MISAMIS OCCIDENTAL,"200,662.00"
"Science and technology Innovation Support to Women of Calindanawan Made Real Livelihood Association, Inc.",2017,Calindanawan Made Real Livelihood Association Inc.,Agriculture / Marine / Aquaculture / Forestry / Livestock,Terminated,Region X,PSTC-MISAMIS ORIENTAL,"142,750.00"
Seminar-Workshop on Technology Needs Assessment and R&D for the DOST-HAU Partnership Project,2014,Holy Angel University,Other Regional Industry Priorities,On-going,Region III,PSTC-PAMPANGA,"125,100.00"
Solid Waste Management Biorector Technology,2008,LGU-Camiguin,Other Regional Industry Priorities,Completed,Region X,PSTC-CAMIGUIN,"585,000.00"
Spray Drying of Fruit and Vegetable Juice Blends from Abundant and Underutilized Food Crops in Bukidnon,2021,Central Mindanao University,Food Processing,On-going,Region X,RO-CONSORTIA,"2,999,788.00"
"Stimulating S&T Minds through Provision of STARBOOKS software to GIDA and CAP Dev Identified Areas of ELCAC and CEST Sinacaba, Misamis Occidental-D2",2021,"Gala Elementary School, Owayan Elementary School, San Lorenzo Ruiz Elementary School",ICT,On-going,Region X,PSTC-MISAMIS OCCIDENTAL,"285,500.00"
Strengthening Proposals Review Mechanism of the Small Enterprise Technology Upgrading Program (SET-UP) and other S&T Related Activites in Region 8,2015,Leyte Normal University (LNU),,Completed,Region VIII,RO-GIA,"771,420.00"
"Strengthening Awareness For Effective disaster Response (SAFER) Project in Sinacaban, Misamis Occidental-D2",2021,LGU-Sinacaban (Local Government Unit of Sinacaban),Other Regional Industry Priorities,On-going,Region X,PSTC-MISAMIS OCCIDENTAL,"209,400.00"
"Strengthening Capacities of Eastern Visayas Consortium for Industry, Energy and Emerging Technology Research and Development (EVCIEERD)",2019,"EVCIEERD, TWG Members and Researchers of SuCs in Region 8, DOST8",,On-going,Region VIII,RO-GIA,"272,500.00"
Strengthening Community Empowerment thru Science and Technology Project Management in Region 8,2017,SLSU-CAALS,,Completed,Region VIII,RO-GIA,"425,000.00"
Strengthening Disaster Awareness for Emerging Tragedies (SAFETY) Project,2020,LGU-Aloran,Other Regional Industry Priorities,On-going,Region X,PSTC-MISAMIS OCCIDENTAL,"108,800.00"
"Strengthening Food Processing and Innovation Center of NMSCST through the Establishment of Shelf-Life Testing Laboratory in Tangub City, Misamis Occidental-D2",2021,Northwestern Mindanao State College of Science and Technology (NMSCST),Other Regional Industry Priorities,On-going,Region X,PSTC-MISAMIS OCCIDENTAL,"2,980,000.00"
"Strengthening Government-Industry-Academe Collaboration through the Northern Mindanao Consortium for Industry, Energy, and Emerging Technology Research and Development (NorMinCIEERD)",2022,DOST-X Regional Office,ICT,On-going,Region X,RO-CONSORTIA,"873,830.00"
"Strengthening of Livelihood thru Provision of Fishing Gears to Dampias Fisherfolk Association in Binuangan, Misamis Oriental-D1",2019,"LGU-Binuangan, Misamis Oriental",Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region X,PSTC-MISAMIS ORIENTAL,"299,000.00"
"Strengthening Product Competitiveness of Oroquieta City Agriculture Cooperative, D-1 Misamis Occidental through various S&T interventions",2021,Oroquieta City Agriculture Cooperative,Food Processing,On-going,Region X,PSTC-MISAMIS OCCIDENTAL,"368,075.00"
Strengthening Proposals Review Mechanism and Implementation of SETUP and other S&T Activities in the Region VIII,2012,Leyte Chamber of Commerce and Industry,,Completed,Region VIII,RO-GIA,"794,900.00"
Strengthening Proposals Review Mechanism and Implementation of SETUP and other S&T Activities in the Region VIII (Phase II),2013,Leyte Chamber of Commerce and Industry,,Completed,Region VIII,RO-GIA,"971,417.00"
Strengthening Proposals Review Mechanism and Implementation of SETUP and other S&T Activities in the Region VIII (Phase III),2014,Leyte Chamber of Commerce and Industry,,Completed,Region VIII,RO-GIA,"1,000,000.00"
Strengthening Proposals Review Mechanism and Implementation of the Small Enterprise Technology Upgrading Program (SETUP) and Other S&T Related Activities in Region 8,2016,Leyte Normal University (LNU),,Completed,Region VIII,RO-GIA,"337,884.00"
Strengthening Proposals Review Mechanism and Implementation of the Small Enterprise Technology Upgrading Program (SETUP) and Other S&T Related Activities in Region 8 (Phase II),2017,Leyte Normal University (LNU),,Completed,Region VIII,RO-GIA,"600,000.00"
"Strengthening S&T Services for Micro, Small and Medium Enterprises (MSMEs) in Eastern Visayas (Sub-project II: Regional Food Innovation Center Phase I-Y2)",2015,EVSU - Tacloban,,Completed,Region VIII,RO-GIA,"1,000,000.00"
"Strengthening S&T Services for Micro, Small and Medium Enterprises (MSMEs) in Eastern Visayas (Sub-project II: Regional Food Innovation Center Phase I-Y3)",2016,EVSU - Tacloban,,Completed,Region VIII,RO-GIA,"640,000.00"
"Strengthening S&T Services for Micro, Small and Medium Enterprises (MSMEs) in Eastern Visayas (Sub-project II: Regional Food Innovation Center Phase I)",2014,EVSU - Tacloban,,Completed,Region VIII,RO-GIA,"500,000.00"
"Strengthening S&T Services for Micro, Small and Meduim Enterprises (MSMEs) in Eastern Visayas, Sub-Project II: (Regional Food Innovation Center Phase II-Y1)",2017,EVSU - Tacloban,,Completed,Region VIII,RO-GIA,"1,000,000.00"
"Strengthening S&T Services for Micro, Small and Meduim Enterprises (MSMEs) in Eastern Visayas, Sub-Project II: (Regional Food Innovation Center Phase II-Y2)",2018,EVSU - Tacloban,,On-going,Region VIII,RO-GIA,"1,200,000.00"
Strengthening S&T Services for MSMEs in Eastern Visayas Sub-Project 1: Enhancing Analytical and Calibration Services to Improve Competitiveness of MSMEs (Phase I-Y2),2013,EVSU - Tacloban,,Completed,Region VIII,RO-GIA,"430,000.00"
Strengthening S&T Services for MSMEs in Eastern Visayas Sub-Project 1: Enhancing Analytical and Calibration Services to Improve Competitiveness of MSMEs (Phase I),2012,EVSU - Tacloban,,Completed,Region VIII,RO-GIA,"606,452.00"
Strengthening S&T Services for MSMEs in Eastern Visayas Sub-Project 1: Enhancing Analytical and Calibration Services to Improve Competitiveness of MSMEs (Phase II-Y1),2014,EVSU - Tacloban,,Completed,Region VIII,RO-SETUP,"419,821.00"
Strengthening S&T Services for MSMEs in Eastern Visayas Sub-Project 1: Enhancing Analytical and Calibration Services to Improve Competitiveness of MSMEs (Phase II-Y2),2015,EVSU - Tacloban,,Completed,Region VIII,RO-GIA,"650,000.00"
Strengthening S&T Services for MSMEs in Eastern Visayas Sub-Project 1: Enhancing Analytical and Calibration Services to Improve Competitiveness of MSMEs (Phase II-Y3),2016,EVSU - Tacloban,,Completed,Region VIII,RO-GIA,"360,000.00"
Strengthening S&T Services for MSMEs in Eastern Visayas Sub-Project 1: Enhancing Analytical and Calibration Services to Improve Competitiveness of MSMEs (Phase III-Y1),2017,EVSU - Tacloban,,Completed,Region VIII,RO-GIA,"550,000.00"
Strengthening S&T Services for MSMEs in Eastern Visayas Sub-Project 1: Enhancing Analytical and Calibration Services to Improve Competitiveness of MSMEs (Phase III-Y2),2018,EVSU - Tacloban,,On-going,Region VIII,RO-GIA,"600,000.00"
"Strengthening Silk Production in Malaybalay City to Improve Sustainability and Competency thru various S&T Interventions in Brgy. Can-ayan, Malaybala City, Bukidnon D-2.",2018,LGU-Malaybalay City,Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region X,PSTC-BUKIDNON,0
Strengthening the Capacity of the Regional and Provincial Disaster Risk Reduction and Management Council on Provision of Science-based Info Hazard Mitigation (Phase 1),2014,DOST8,,Completed,Region VIII,RO-GIA,"591,155.00"
Strengthening the Food Industry Towards Food Standards,2013,Philippine Chamber of Commerce and Industry-CAR,Other Regional Industry Priorities,Completed,CAR,RO-GIA,"710,000.00"
Strengthening the Operations and Capability Building of the Food Innovation Center (FIC),2016,Guimaras State College (GSC),Agriculture / Marine / Aquaculture / Forestry / Livestock,Completed,Region VI,PSTC-GUIMARAS,"3,476,807.00"
Strengthening the Provision of Food Safety Services to MSMEs in Eastern Visayas,2014,VSU - Baybay,Food Processing,Completed,Region VIII,RO-GIA,"290,000.00"
Strengthening the Provision of Food Safety Services to MSMEs in Eastern Visayas - Phase 3,2017,Samar State University,Other Regional Industry Priorities,On-going,Region VIII,RO-GIA,"200,000.00"
"Strengthening the Research, Development and Extension Capability of STCIERD Member-Agencies",2019,Southern Tagalog Consortium for Industry and Energy Research and Development,Agriculture / Marine / Aquaculture / Forestry / Livestock,New,Region IV-A,RO-Project Coordinators,"1,000,000.00"
"Strengthening Tribal Community-based Brick Production to Improve Technical Skills and Livelihood for IP Community and Settlers thru Enhancement Training Cum Production in Songco, Lantapan, Bukidnon",2018,LGU Lantapan,Other Regional Industry Priorities,On-going,Region X,PSTC-BUKIDNON,"203,000.00"
Support Facility for the Food Processing Sector of the Province of Negros Occidental,2012,LGU - Province of Negros Occidental,Food Processing,Completed,Region VI,PSTC-NEGROS OCCIDENTAL,0
Support to Clean Camiguin Covid19 QR Code System and its Operation Center through the adoption of S-PaSS and other Covid-related Systems,2021,PROVINCIAL GOVERNMENT UNIT (PGO) CAMIGUIN - Provincial Planning Development Office,ICT,Completed,Region X,PSTC-CAMIGUIN,"480,000.00"
"Support to Information Technology Enhancement: A CEST e-Governance Project in Salay, Misamis Oriental- D1",2018,"LGU-Salay, Misamis Oriental",ICT,On-going,Region X,PSTC-MISAMIS ORIENTAL,"64,000.00"
"Support to Response and Alert System: A DOST CEST DRRM Project in Catarman, Camiguin",2021,Municipal Disaster Risk Reduction Office - LGU Catarman,Other Regional Industry Priorities,On-going,Region X,PSTC-CAMIGUIN,"992,062.00"
Support to Strengthen the Implementation of One Lab in Negros Occidental,2018,Negros Prawn Producers Cooperative (NPPC),Other Regional Industry Priorities,On-going,Region VI,PSTC-NEGROS OCCIDENTAL,0
Support to the Association of Negros Producers OURFood Agenda,2012,"Association of Negros Producers (ANP), Inc.",Food Processing,Completed,Region VI,PSTC-NEGROS OCCIDENTAL,0
Support to VCO Industry Tool Packaging for VCO,2017,Maanda Farmers and Fisherfolks Association (MFFA),Other Regional Industry Priorities,On-going,Region VIII,PSTC-LEYTE,"972,200.00"
Supporting the Operations Function of NMFIC in Strengthening Innovations and Capabilities of the MSMEs of Northern Mindanao,2019,"University of Science and Technology of Southern Philippines, Northern Mindanao Food Innovation Center (NMFIC)",Food Processing,On-going,Region X,PSTC-MISAMIS ORIENTAL,"599,101.00"
Sustainable Community-based Vegetable Intensive and Efficient Technology-Driven Production Systems (Sustainable Vegies) for Bukid Kabataan Center,2020,DOST-PSTC Cavite,Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region IV-A,PSTC-CAVITE,"4,500,000.00"
Technical Assistance on Laboratory Testing/Analyses for Selected MSMEs,2018,"Casile-Guinting Upland Marketing Cooperative, Pidiong's House of Cashew Nuts, Momilo Mio Food Venture, Zenaida Corcuera Food Product, Aga Farmers Cooperative, Candelaria Coconut (OTOP) & Other Manufacturers' Association, Inc. (CACOPMAI)",Food Processing,On-going,Region IV-A,RO-Project Coordinators,"217,000.00"
Technology Innovation Support to Kapatagan Lampakanay Handicrafts Association (Kaplaha) through Provision of Various Equipment to Upgrade the Production of Lampakanay Handicrafts,2017,Kapatagan Lampakanay Handicrafts Association (Kaplaha),Gifts / Decors / Handicrafts,Terminated,Region X,PSTC-LANAO DEL NORTE,"250,000.00"
"Technology Innovation Support to Magsaysay Multipurpose Cooperative thru Provision of Geo-Textile/Coco net Weaving, Twining Machines and Package of Training Assistance to Lanao del Norte-D2",2015,Magsaysay Multi-Purpose Cooperative,Other Regional Industry Priorities,Completed,Region X,PSTC-LANAO DEL NORTE,"324,900.00"
"Technology Intervention in Binuangan, Misamis Oriental - D1 to produce Eco-Hollow Blocks from Shredded Solid Waste",2019,"LGU-Binuangan, Misamis Oriental",Other Regional Industry Priorities,New,Region X,PSTC-MISAMIS ORIENTAL,"699,000.00"
"Technology Intervention through the Provision of Green Charcoal Briquette Processing Facility: an LGIA Project in Balingasag, Misamis Oriental-D1",2019,LGU-Balingasag,Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region X,PSTC-MISAMIS ORIENTAL,"372,599.00"
"Technology Provision to Public High Schools and Enrichment Program for Graduating Senior High School Students from Binuangan, Misamis Oriental-D1",2019,"LGU-Binuangan, Misamis Oriental",Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region X,PSTC-MISAMIS ORIENTAL,"233,800.00"
Technology Support for Coco Coir and Peat Processing Facility,2020,"Linamon Coconut Farmers Association, LGU Linamon",Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region X,PSTC-LANAO DEL NORTE,"800,000.00"
"Technology Support for the Establishment of Dairy Processing Facility in Brgy. Abuno, Iligan City",2019,"LGU-Iligan, Sentro sa Maayong Magbalantay, Inc.",Food Processing,On-going,Region X,PSTC-LANAO DEL NORTE,"238,000.00"
"Technology Support for the Establishment of Seaweeds Post-harvest Facility in Kolambugan, LDN-D2",2020,Simbuco Aqua-Marine Multi Purpose Cooperative,Food Processing,On-going,Region X,PSTC-LANAO DEL NORTE,"458,950.00"
"Technology Support thru Provision of Waste Shredding Machines and Dual Drum Composter for Waste Management of Iligan City, Lone District",2020,LGU Iligan,Other Regional Industry Priorities,On-going,Region X,PSTC-LANAO DEL NORTE,"501,600.00"
Technology Training on Bamboo Furniture and Handicraft Production,2017,"LGU-Bonifacio, Misamis Occidental",Furniture,Terminated,Region X,PSTC-MISAMIS OCCIDENTAL,"129,406.00"
Technology Training on Engineered Bamboo Production,2015,LGU-Sapang Dalaga,Furniture,Completed,Region X,PSTC-MISAMIS OCCIDENTAL,"60,000.00"
Technology Training on Lampakanay Handicrafts Preservation and Finishing Techniques,2015,Kapatagan Lampakanay Handicrafts Association (Kaplaha),Agriculture / Marine / Aquaculture / Forestry / Livestock,Completed,Region X,PSTC-LANAO DEL NORTE,"60,800.00"
Technology Training on Squash Canton Noodle Processing,2014,KATUPARAN,Food Processing,Completed,Region X,PSTC-MISAMIS OCCIDENTAL,"47,000.00"
"Technology Training on Squash Canton Noodle Processing of Tinaclaan Rural Improvement Club in Clarin, Misamis Occidental D-2",2019,"LGU-Clarin, Tinaclaan Rural Improvement Club",Food Processing,On-going,Region X,PSTC-MISAMIS OCCIDENTAL,"50,000.00"
Technology Training on Turmeric Processing,2017,LGU-Tangub City,Food Processing,Terminated,Region X,PSTC-MISAMIS OCCIDENTAL,"15,000.00"
Technology Upgrading for Manufacturing Efficiency for Rural Improvement Club-Malibacsan Inc. (TURMERIC-Malibacsan) Project,2020,LGU-Jimenez,Food Processing,On-going,Region X,PSTC-MISAMIS OCCIDENTAL,"345,200.00"
"Technology Upgrading for the Production of Gifts, Novelties, and Souvenir Items",2011,Shamara Industries,Gifts / Decors / Handicrafts,Completed,Region X,PSTC-BUKIDNON,"111,316.00"
"Technology Upgrading of Dried Sardines Processing Facilities in Salay, Misamis Oriental - D1",2019,Local Government Unit of Salay,Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region X,PSTC-MISAMIS ORIENTAL,"271,000.00"
The Beneficial Effects of Virgin Coconut Oil (VCO) among Suspect and Probable Cases of COVID-19,2020,Department of Science and Technology - Food and Nutrition Research Institute (DOST-FNRI),Health & Wellness Products,Completed,Region IV-A,RO-Project Coordinators,"7,101,781.00"
Training Course on Research and Development (R&D) Project Implementation Management,2019,DOST8,Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region VIII,RO-GIA,"240,000.00"
"Training cum Production of 1.5L Ceramic Pot Filters for the Water Purification Filtration System in Eliano Baluyut Pottery, Inc. (Technology Transfer) – Phase II",2013,Eliano Baluyut Pottery Inc.,Other Regional Industry Priorities,Completed,Region III,PSTC-PAMPANGA,"186,250.00"
Training on Upholstery for the Pampanga Furniture Industry,2017,Don Honorio Ventura Technological State University,Furniture,Completed,Region III,PSTC-PAMPANGA,"220,000.00"
Training Workshop on Fermentation of Various Food Products in Misamis Oriental,2019,LGU-Misamis Oriental,Food Processing,Completed,Region X,PSTC-MISAMIS ORIENTAL,"47,414.00"
Transfer of Pulled Out Equipment to USTP-Oroquieta for its Food Research Development Project,2017,USTP-Oroquieta City,Food Processing,Completed,Region X,PSTC-MISAMIS OCCIDENTAL,"624,098.00"
"Tree Nursery Project and Provision of Solar Water Pump for Environmental Protection and Climate Change Adaptation in Gitagum, Misamis Oriental-D2",2020,LGU-Gitagum,Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region X,PSTC-MISAMIS ORIENTAL,"399,750.00"
University of the Philippines Visayas Small Enterprise and Entrepreneurial Development Services -Technology Business Incubator (UPV SEEDS-TBI),2011,University of the Philippines Visayas,Other Regional Industry Priorities,Completed,Region VI,PSTC-ILOILO,"1,320,000.00"
Upgrading and Mechanization of Organic Fertilizer Production,2003,LGU-Bukidnon,Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region X,PSTC-BUKIDNON,0
"Upgrading Bamboo Processing Facility of Sto. Niño Multi-Purpose Cooperative, Catarman, Camiguin",2020,STO. NI?'O MULTI PURPOSE COOPERATIVE,Furniture,On-going,Region X,PSTC-CAMIGUIN,"448,450.00"
Upgrading of a Community Based Salt Iodizing Facility for San Lorenzo Salt Producers,2012,LGU- San Lorenzo,Agriculture / Marine / Aquaculture / Forestry / Livestock,Completed,Region VI,PSTC-GUIMARAS,"252,505.00"
Upgrading of a Complementary Food Facility of Jordan LGU to Reduce Malnutrition in the Province of Guimaras,2013,LGU-Jordan,Food Processing,Completed,Region VI,PSTC-GUIMARAS,"452,196.00"
Upgrading of Aklan Food an Water Testing LAboratory - Phase II,2012,Provincial Government of Aklan,Food Processing,On-going,Region VI,PSTC-AKLAN,"1,182,350.00"
"Upgrading of Banana Chip Processing Facility in Barangay 95-A, Tacloban, City, Leyte",2017,Womens Economic Sustainable Dev't Association (WESDA),Food Processing,On-going,Region VIII,PSTC-LEYTE,"970,000.00"
"Upgrading of Banana Chips Processing of LGU-Malitbog, Bukidnon",2017,LGU-Malitbog,Other Regional Industry Priorities,On-going,Region X,PSTC-BUKIDNON,"438,810.00"
"Upgrading of Brick Production for IP Women in Songco, a GIDA community, in Lantapan, Bukidnon –D2",2020,LGU Lantapan,Gifts / Decors / Handicrafts,New,Region X,PSTC-BUKIDNON,"171,000.00"
"Upgrading of Community Food Processing Facility in Brgy. Baybay, Alubijid, Misamis Oriental – D2",2020,Alubijid Foods Inc. (AFI),Food Processing,On-going,Region X,PSTC-MISAMIS ORIENTAL,"606,800.00"
Upgrading of Dried Squid Protection Center through the Provision of Vacuum Packaging Machine,2014,"LGU Oroquieta, Canubay Dried Squid Association (CDSA)",Food Processing,Completed,Region X,PSTC-MISAMIS OCCIDENTAL,"228,390.00"
"Upgrading of EVFIC: Acquisition of Spray Dryer Equipment for Toll Manufacturing Services Eastern Visayas State University (EVSU) Main Campus, Salazar St., Quarry Distric, Tacloban City",2020,EVSU - Tacloban,,On-going,Region VIII,RO-GIA,"1,200,000.00"
Upgrading of Furniture Manufacturing,2019,LGU-Valencia City,Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region X,PSTC-BUKIDNON,0
Upgrading of Green Rose Herbal Oil and Granules Herbal Tea Processing,2014,Saint John the Baptist Herbal Making Processing,Health & Wellness Products,Completed,Region X,PSTC-MISAMIS OCCIDENTAL,"87,518.00"
"Upgrading of Healthy Food Processing Facility to Increase Productivity and Improve Product Quality in Xavier de Kibangay High School – a GIDA, RTF-ELCAC Area, thru Various S&T Intervention in Lantapan Bukidnon, D-2.",2020,LGU Lantapan,Food Processing,New,Region X,PSTC-BUKIDNON,"152,900.00"
"Upgrading of Organic Fertilizer Production Utilizing Vermiculture Technology in Catarman, Camiguin",2021,"LGU CATARMAN, Municipal Agriculture Office - LGU Catarman",Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region X,PSTC-CAMIGUIN,"812,940.00"
"Upgrading of Production Facilities and Packaging Development for Miniature Boat Makers of Rizal, Buenavista",2012,LGU-Buenavista,Agriculture / Marine / Aquaculture / Forestry / Livestock,Completed,Region VI,PSTC-GUIMARAS,"294,407.00"
Upgrading of Quail Egg Production,2019,LGU-Bukidnon,Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region X,PSTC-BUKIDNON,0
"Upgrading of the Charcoal Making Industry in Sibalom, Antique",2016,"Municipality of Sibalom, antique",Other Regional Industry Priorities,On-going,Region VI,PSTC-ANTIQUE,"267,900.00"
"Upgrading of the Common Service Facilities of Banana Chips Production of San Jose Banana Chips Association Through Various Science and Technology Interventions in San Jose, Mahinog, Camiguin",2018,"LGU-Mahinog, Camiguin",Food Processing,On-going,Region X,PSTC-CAMIGUIN,"183,670.00"
Upgrading of the Library Facilities of Don Honorio Ventura Technological State University through the Introduction of Science and Technology Academic and Research-Based Openly-Operated Kiosks (STARBOOKS),2016,Don Honorio Ventura Technological State University,Other Regional Industry Priorities,Completed,Region III,PSTC-PAMPANGA,"181,556.00"
Upgrading of the Library Facilities of Florida National Agricultural School through the Introduction of Science and Technology Academic and Research-Based Openly-Operated Kiosks (STARBOOKS),2017,Floridablanca National Agricultural School,Other Regional Industry Priorities,Completed,Region III,PSTC-PAMPANGA,"166,755.00"
Upgrading of the Library Facilities of San Esteban National High School through the Introduction of Science and Technology Academic and Research-Based Openly-Operated Kiosks (STARBOOKS),2017,"Municipality of Macabebe, Pampanga",Other Regional Industry Priorities,Completed,Region III,PSTC-PAMPANGA,"166,755.00"
Upgrading of the Library Facilities of Tarik Suliman High School through the S&T Academic and Research-Based Openly Operated Kiosks (STARBOOKS),2016,"Municipality of Masantol, Pampanga",Other Regional Industry Priorities,Completed,Region III,PSTC-PAMPANGA,"166,755.00"
Upgrading of the Library Facilities of the Pampanga Provincial Library through the Introduction of Science and Technology Academic and Research-Based Openly-Operated Kiosks Station (STARBOOKS),2017,Pampanga Provincial Library,Other Regional Industry Priorities,Completed,Region III,PSTC-PAMPANGA,"166,755.00"
Upgrading of Water Hyacinth-based Handicrafts,2013,LGU-Maramag,Gifts / Decors / Handicrafts,Terminated,Region X,PSTC-BUKIDNON,"749,998.00"
Upgrading the Capabilities of FNAS as an Avenue for Education and Training through Appropriate S&T Intervention,2017,Floridablanca National Agricultural School (FNAS),Other Regional Industry Priorities,Completed,Region III,PSTC-PAMPANGA,"970,000.00"
Upgrading the NPPC Laboratory Facilities to Support the Natural Products Secto,2012,Negros Prawn Producers Cooperative (NPPC),Other Regional Industry Priorities,Completed,Region VI,PSTC-NEGROS OCCIDENTAL,0
Upgrading the Smoked Fish Processing Facilities of 25 SK ( Samahan ng Kababaihan ) and Packaging Development,2021,25 SK,Agriculture / Marine / Aquaculture / Forestry / Livestock,Completed,Region III,PSTC-ZAMBALES,"150,000.00"
Upgrading the Wine Processing of PSMMMPC (Pinagkaisang Samahan ng Mangingisda at Magsasaka MPC ),2020,Pinagkaisang Samahan ng Magsasaka/ Mangingisda Multi-Purpose Cooperative (PSMM-MPC),Food Processing,Completed,Region III,PSTC-ZAMBALES,"125,000.00"
"Upgrading through S&T Intervention on the Production of Banana and Citronella Oil Based Products: A Business Enterprise Support for the G.Pelaez Agrarian Reform Beneficiaries Multi-Purpose Cooperative (GPARB MPC) at Gitagum, Misamis Oriental",2020,Gregorio Pelaez Agrarian Reform Beneficiaries Multi-Purpose Cooperative (GPARBMPC),Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region X,PSTC-MISAMIS ORIENTAL,"998,780.00"
"Upscaling of Tissue Cultured Production for Abaca, Banana and other High Value Crops for Upland Farmers and Indigenous Peoples in Geographically in Conflict Development Areas (GIDA) of Misamis Oriental",2019,Provincial Local Government of Misamis Oriental - Provincial Agriculture Office (PGMO-PAGRO),Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region X,PSTC-MISAMIS ORIENTAL,"1,860,000.00"
"Upscalling of Tissue Culture Production for Abaca, Banana, and other High Value Crops for Upland Farmers and Indigenous Peoples in Geographically in Conflict Development Areas (GIDA) of Misamis Oriental",2019,Provincial Local Government of Misamis Oriental - Provincial Agriculture Office (PGMO-PAGRO),Agriculture / Marine / Aquaculture / Forestry / Livestock,New,Region X,PSTC-MISAMIS ORIENTAL,"1,860,000.00"
"USEfor Silk: utilization of Sericulture Farming in Sitio Buracan, Brgy. Pagalungan, CDOC-D1",2021,LGU Cagayan de Oro City/Ganda Farming Chapter,Agriculture / Marine / Aquaculture / Forestry / Livestock,New,Region X,PSTC-MISAMIS ORIENTAL,"242,150.00"
"Utilization of an Efficient DOST-Based Technology in Enhancing DRRM Flood Warning Capability in Brgy. Umagos, Lagonglong, Misamis Oriental – D1",2021,LGU-Lagonglong,Other Regional Industry Priorities,On-going,Region X,PSTC-MISAMIS ORIENTAL,"243,572.00"
"Utilization of an Efficient Flood Warning Technology with Pressure-type Water Level Sensor in Brgy. Ili-Ilihon, Salay, Misamis Oriental – D1",2021,"LGU-Salay, Misamis Oriental",Other Regional Industry Priorities,On-going,Region X,PSTC-MISAMIS ORIENTAL,"828,572.00"
